,Track name,Track id
117,Asal Mein,0rMeOAvbQZ2RTG4B6L1M4p
118,Mujh Se Pehli Si Mohabbat,3ZIFPNzFxJxD4trmWdWScK
119,Jaanay Iss Dil,26qEGHtclfxUIWGQwB8y5a
120,Hasta Hua Noorani Chehra - Qawwali Version,7E1wurJVXE8v8AiWSFMVae
121,Teri Fariyad,369oZK7hzwq2wHzRWzs9xh
122,"Ankhain - Original Soundtrack From ""Kabli Pulao""",1XLESnEASChQ5309K0dknK
123,Gulon Main Rang,7J4UCQmUq4T5vzMmvE2NAq
124,Voh Tere Mere Ishq Ka,5fVwRMlelIipvVLcZQnzYs
125,Dhondo Ge Agar Mulko,2G0AtYl64C5a872pDWVKw4
126,Gulon Me Rung Bhare,2Ab9Qjm9J8vGJICjDbq17f
127,Wada Shikan,5mM2bFu4a3TUf12nFIkY0o
128,Mujhe Tum Nazar Se,6tRjQwbgoZBBPUWUO0dbjT
129,Laiyan Laiyan,45vvC6Ce1SIsQUNQOhehhC
130,Rafta Rafta Woh Meri Hasti Ka Saman Ho Gaye,6GdajL7Wy76jkC7QziZ1At
131,"Hothon Se Chhu Lo Tum - From ""Prem Geet""",4mBmsPcPa1Eu4LDTHq55Ab
132,Hoshwalon Ko Khabar Kya,5NbR7c5zrOZN3Dje3JVJEN
133,Aise Kyun - Ghazal Version,2wDsZgFps34cgGMiYeeszB
134,Aaoge Jab Tum,3fWMFwaJil8fD14JCgwbcL
135,Bade Achhe Lagte Hain,6MZCYPT3hZPzwJGLnXn1RF
136,Phir Le Aya Dil - Reprise,7fpWJr5shT90KiCHXKHxch
137,Gali Mein Chand - Happy,38wTTpiltGsXGslrWMVmbw
138,Ranjish Hi Sahi,4t2sMBajRuSKudtieXPgPp
139,Afreen Afreen (Coke Studio Season 9),7pBcon5GqvUfn58HRfF8wv
140,Chan Kithan,3DJVLBNKQi8fzhTWFxAzS6
141,Chaap Tilak,2mVqfKbKGmxVXlVswhlI5T
142,Aaj Jane Ki Zid Na Karo - Coke Studio Season 8,6XpEgDZ1YmbzpLECDE59AA
143,Jahan Mein Aesa Kaun Hai,1bCe5TnMj6g8dl3Gbril78
144,Kali Kali Zulfon Ke,2kT3iaXNyWpLzIx1DmUsDF
145,"Rafta Rafta Woh Meri Hasti Ka (From ""Zeenat"")",2CWKnKg2zzXI6wfsH2dTDE
146,"Hothon Se Chhu Lo Tum - From ""Prem Geet""",4mBmsPcPa1Eu4LDTHq55Ab
147,Hoshwalon Ko Khabar Kya,5NbR7c5zrOZN3Dje3JVJEN
